"veglenkesekvensid","relativ_posisjon","vegvedlikehold","rand_float","year"
1507,0.07385555,vegarbeid,0.0000209992581103,2022
885358,0.33658168,vegarbeid,0.000026513333942,2023
705244,0.59149441,vegarbeid,0.0000193890623575,2024
444326,0.35588341,vegarbeid,0.0000099542701111,2022
625212,0.16247534,vegarbeid,0.0000468080338524,2024
181086,0.64997122,vegarbeid,0.0000885946509871,2024
2356068,0.0959102,vegarbeid,0.0000784401430991,2023
249155,0.50673947,vegarbeid,0.0000721394886528,2024
1110015,0.5392811,vegarbeid,0.0000020649604455,2024
2060892,0.65972934,vegarbeid,0.0000234685223548,2023
1060273,0.81783644,vegarbeid,0.000008363367907,2022
222731,0.29809783,vegarbeid,0.0000354606039011,2022
759162,0.35565547,vegarbeid,0.0000139847613145,2024
885956,0.32797061,vegarbeid,0.0000515503278569,2022
971513,0.39478747,vegarbeid,0.0000584376420329,2022
22210,0.74557831,vegarbeid,0.0000684553799514,2022
627014,0.30129452,vegarbeid,0.0000829522190037,2023
285201,0.01950036,vegarbeid,0.0000545886848973,2022
493890,0.41682372,vegarbeid,0.0000453463043756,2023
1002309,0.38382124,vegarbeid,0.0000476943331661,2022
1110856,0.38390354,vegarbeid,0.0000008599282969,2023
805665,0.3079655,vegarbeid,0.0000012213878879,2023
1003780,0.13933809,vegarbeid,0.0000154514665968,2023
1111996,0.92833153,vegarbeid,0.0000623360041448,2024
971794,0.93417973,vegarbeid,0.0000382068215289,2022
930501,0.08373932,vegarbeid,0.0000807682604002,2023
249385,0.72460078,vegarbeid,0.000014385455277,2022
1125901,0.4900557,vegarbeid,0.0000787747153033,2022
1125924,0.05966251,vegarbeid,0.000098458510149,2022
2577539,0.08511584,vegarbeid,0.0000559738132606,2023
444305,0.82666246,vegarbeid,0.0000583955296496,2022
578633,0.4536863,vegarbeid,0.0000343487106546,2023
493656,0.02088297,vegarbeid,0.0000420497530137,2022
805476,0.17204091,vegarbeid,0.0000426545458765,2024
885729,0.58067854,vegarbeid,0.0000595883635832,2022
43515,0.5995562,vegarbeid,0.0000547459502553,2024
249015,0.31895861,vegarbeid,0.0000269649800175,2024
249642,0.74144001,vegarbeid,0.0000020193133899,2023
491992,0.00847939,vegarbeid,0.0000163174008978,2024
555226,0.85903604,vegarbeid,0.0000832469396053,2023
555490,0.07083335,vegarbeid,0.0000197614044551,2024
578433,0.71738844,vegarbeid,0.0000704036525899,2024
603717,0.2339994,vegarbeid,0.0000446020664508,2024
971514,0.66965084,vegarbeid,0.000002838245536,2024
1060277,0.1748072,vegarbeid,0.0000852480336029,2022
409006,0.49003914,vegarbeid,0.0000599269290541,2022
2390300,0.95792009,vegarbeid,0.0000173713358381,2024
885780,0.23744289,vegarbeid,0.0000684180427887,2023
2282232,0.59107087,vegarbeid,0.000021696089111,2022
2560006,0.54311142,vegarbeid,0.000054842447293,2023
222478,0.12938286,vegarbeid,0.0000351109964271,2022
930295,0.05810706,vegarbeid,0.0000860238316366,2023
971485,0.72178227,vegarbeid,0.0000091263304521,2022
320178,0.5790031,vegarbeid,0.0000042679419591,2022
555317,0.70164473,vegarbeid,0.000058310811456,2024
298029,1.0,vegarbeid,0.0000780451515351,2022
805723,0.84228068,vegarbeid,0.0000913400668504,2022
408023,0.66688317,vegarbeid,0.0000605400736432,2022
650057,0.3484437,vegarbeid,0.0000977574253003,2023
384093,0.18056085,vegarbeid,0.0000516412214632,2024
72824,0.44004523,vegarbeid,0.0000933924084158,2023
1003696,0.46004063,vegarbeid,0.0000713505979989,2022
121710,0.06787025,vegarbeid,0.0000820936441789,2023
443378,0.09293398,vegarbeid,0.0000104762916768,2024
885320,0.07683443,vegarbeid,0.0000530792744058,2022
603906,0.23272162,vegarbeid,0.0000692563706739,2023
578390,0.81110577,vegarbeid,0.0000535176625361,2023
521130,0.80143854,vegarbeid,0.0000896596090673,2022
1126141,0.18235646,vegarbeid,0.0000867421634703,2023
2587310,0.14822594,vegarbeid,0.0000230078356297,2023
922937,0.0439216,vegarbeid,0.0000487038331246,2022
578715,0.15259959,vegarbeid,0.0000299495432503,2024
603922,0.0423221,vegarbeid,0.0000814764114468,2022
651265,0.83922575,vegarbeid,0.0000644428102865,2024
1110157,0.66842907,vegarbeid,0.0000727930374235,2023
249447,0.54975515,vegarbeid,0.0000637565302921,2022
3105475,0.51379661,vegarbeid,0.0000752942329356,2023
971573,0.87594241,vegarbeid,0.0000076053315387,2024
855355,0.812144,vegarbeid,0.0000979645867051,2022
72367,0.45472189,vegarbeid,0.0000896069243826,2023
859974,0.92190004,vegarbeid,0.0000138425339919,2023
380850,0.57050144,vegarbeid,0.0000408252718583,2022
72586,0.23610576,vegarbeid,0.0000364601520666,2023
930645,0.2574525,vegarbeid,0.0000126916389023,2022
181197,0.86180111,vegarbeid,0.0000122089630643,2023
21809,0.33183185,vegarbeid,0.0000184829316132,2024
855976,0.43228545,vegarbeid,0.0000828435846717,2023
856972,0.55703008,vegarbeid,0.0000277617889244,2022
365153,0.43012248,vegarbeid,0.000048135451885,2024
1111550,0.88551291,vegarbeid,0.0000220700034248,2024
2014353,0.30645556,vegarbeid,0.0000197446643829,2022
384024,0.15050439,vegarbeid,0.0000423078666023,2023
886003,0.80517765,vegarbeid,0.0000644655766834,2022
1060371,0.58585872,vegarbeid,0.0000487887444738,2022
1126132,0.80512259,vegarbeid,0.0000582562237315,2023
1126105,0.42666994,vegarbeid,0.0000389871594121,2024
320746,0.61311346,vegarbeid,0.000028465624699,2023
805838,0.49917957,vegarbeid,0.0000915964517724,2023
494451,0.80488955,vegarbeid,0.0000400857148553,2024
521313,0.70760261,vegarbeid,0.0000087160837748,2023
521356,0.61807113,vegarbeid,0.0000910478261203,2024
1060114,0.27015725,vegarbeid,0.000083575883486,2024
1060731,0.5409751,vegarbeid,0.0000010457892647,2022
886022,0.20356024,vegarbeid,0.0000985932013768,2023
443747,0.62968092,vegarbeid,0.0000393629370475,2024
492823,0.1348775,vegarbeid,0.0000125762247001,2024
521203,0.8418365,vegarbeid,0.0000921380772598,2022
121488,0.71569259,vegarbeid,0.0000549546657985,2023
578482,0.25696442,vegarbeid,0.0000929391922373,2022
804999,0.59075155,vegarbeid,0.0000250890035712,2024
705112,0.92771701,vegarbeid,0.0000475007964748,2023
578326,0.01850969,vegarbeid,0.0000464708307919,2023
885279,0.12208379,vegarbeid,0.0000725448842851,2022
106112,0.53589053,vegarbeid,0.000041370193846,2023
1125867,0.72754416,vegarbeid,0.000074636570734,2023
930230,0.78499157,vegarbeid,0.0000605961314991,2023
384492,0.98346792,vegarbeid,0.0000558110823167,2022
805630,0.60620901,vegarbeid,0.0000974819919751,2022
805821,0.72112732,vegarbeid,0.0000172912794156,2022
406071,0.78679504,vegarbeid,0.0000996645178558,2024
1126013,0.59324431,vegarbeid,0.0000124793755221,2024
121458,0.72748175,vegarbeid,0.00006941095343,2022
121545,0.41005096,vegarbeid,0.0000171935192131,2023
930322,0.57739544,vegarbeid,0.0000098385560211,2024
366028,0.11618296,vegarbeid,0.0000639927008629,2023
181237,0.44466682,vegarbeid,0.0000738046799971,2023
805763,0.12807791,vegarbeid,0.0000888315658371,2023
704693,0.77519183,vegarbeid,0.0000677817487756,2024
1216607,0.19891644,vegarbeid,0.0000738817538655,2022
805385,0.98233799,vegarbeid,0.0000407226788818,2024
761063,0.50769024,vegarbeid,0.0000221488084127,2023
1060424,0.19414278,vegarbeid,0.0000578182391183,2022
1109213,0.07524853,vegarbeid,0.0000523880392963,2022
605540,0.05366857,vegarbeid,0.0000465705329296,2022
248971,0.8655207,vegarbeid,0.0000743755028966,2022
2096310,0.05900632,vegarbeid,0.0000123440870632,2022
1175548,0.90939435,vegarbeid,0.0000300280237958,2024
